Extension,Metadata,Category,MIME Type
.3g2,3GPP2 multimedia data,Common file extensions,video/3gpp2
.3gp,Multimedia files for wireless networks,Common file extensions,video/3gpp
.arf,WebEx advanced record file,Common file extensions,
.asf,Advanced Systems (streaming) format,Common file extensions,video/x-ms-asf
.asx,Microsoft Advanced Streaming Redirector,Common file extensions,video/x-ms-asf
.avi,Audio Video Interleave movie,Common file extensions,video/x-msvideo
.bik,BINK video,Common file extensions,
.dash,Dynamic Adaptive Streaming over HTTP video,Common file extensions,
.dat,Video CD MPEG movie MPEG1,Common file extensions,
.dvr,Microsoft Windows XP Media Center TV recording,Common file extensions,
.flv,Flash video,Common file extensions,video/x-flv
.h264,H.264 video,Common file extensions,video/h264
.m2t,MPEG-2 transport stream,Common file extensions,
.m2ts,MPEG-2 stream (Blu-Ray),Common file extensions,
.m4v,MPEG-4 video file format,Common file extensions,video/x-m4v
.mkv,Matroska multimedia container video file,Common file extensions,video/x-matroska
.mod,Hard disk camera movie MPEG-2 program stream,Common file extensions,
.mov,Apple QuickTime digital video,Common file extensions,video/quicktime
.mp4,MPEG-4 video file format,Common file extensions,video/mp4
.mpeg,MPEG movie,Common file extensions,video/mpeg
.mpg,MPEG 1 video file format,Common file extensions,video/mpeg
.mts,AVCHD MPEG-2 transport stream,Common file extensions,model/vnd.mts
.ogv,Ogg Vorbis video,Common file extensions,video/ogg
.prproj,Adobe Premiere Pro project,Common file extensions,
.rec,Recorded data,Common file extensions,
.rmvb,RealMedia variable bitrate,Common file extensions,
.swf,"ShockWave Flash, Animated vector format for the Internet",Common file extensions,application/x-shockwave-flash
.tod,Hard disk camera movie MPEG-2 transport stream,Common file extensions,
.tp,MPEG-2 TV recorded video,Common file extensions,
.ts,MPEG-TV recorded video format,Common file extensions,video/mp2t
.vob,DVD video object,Common file extensions,
.webm,Matroska WebM video,Common file extensions,video/webm
.wlmp,Microsoft Windows Live Movie Maker video project,Common file extensions,
.wmv,Windows Media Video,Common file extensions,video/x-ms-wmv
.mp4,MPEG-4 video file format,Video,video/mp4
.264,H.264/MPEG-4 AVC video data file,Video,
.exo,Youtube for Android video chunk,Video,
.swf,"ShockWave Flash, Animated vector format for the Internet",Video,application/x-shockwave-flash
.anydesk,AnyDesk session record,Video,
.fbr,BB FlashBack screen recording,Video,
.scr,DivX video,Video,
.n3r,Panasonic video format,Video,
.h264,H.264 video,Video,video/h264
.bu,Samsung CCTV security video recording,Video,
.avi,Audio Video Interleave movie,Video,video/x-msvideo
.tscproj,Camtasia Studio project (version 9),Video,
.trec,Camtasia Studio recorded session file,Video,
.vproj,VSDC Free Video Editor project,Video,
.rec,Recorded data,Video,
.mepx,Movavi Video Editor project (version 11 to 22),Video,
.v264,TENVIS IP Camera recorded video file,Video,
.g64x,Security Center video data file,Video,
.wve,Wondershare Video Editor project,Video,
.avc,MPEG-4 AVC Advanced Video Coding movie,Video,
.ts,MPEG-TV recorded video format,Video,video/mp2t
.vpj,VideoPad video editor project,Video,
.prproj,Adobe Premiere Pro project,Video,
.pds,Cyberlink PowerDirector project,Video,
.pz,Panzoid video project,Video,
.hkv,Eyesight IP Camera video,Video,
.mkv,Matroska multimedia container video file,Video,video/x-matroska
.rf,RealFlash clip,Video,
.es3,Canon VIXIA HG21 high resolution exported movie,Video,application/vnd.eszigno3+xml
.bnk,BINK compressed video file,Video,
.lrv,GoPro low resolution video,Video,
.nfv,Netflix downloaded video,Video,
.dvr,Microsoft Windows XP Media Center TV recording,Video,
.bup,Backup of DVD info,Video,
.wfp,Filmora project,Video,
.mks,Matroska subtitles stream,Video,
.webm,Matroska WebM video,Video,video/webm
.hvc1,H.265 RAW video,Video,
.dv4,Bosch Security Systems CCTV video,Video,
.yify,Warez movie,Video,
.h265,H.265 High Efficiency Video,Video,
.tvs,TeamViewer session data,Video,
.mov,Apple QuickTime digital video,Video,video/quicktime
.veg,MAGIX Vegas Pro video project,Video,
.kux,Multimedia data file,Video,
.vob,DVD video object,Video,
.ifv,Fuho 16CH Standalone DVR video backup,Video,
.vpd,PhotoDVD project,Video,
.dv5,DV5 DVR digital video,Video,
.flv,Flash video,Video,video/x-flv
.dash,Dynamic Adaptive Streaming over HTTP video,Video,
.lrec,Inter-Tel web conference recording,Video,
.arf,WebEx advanced record file,Video,
.encm,Panasonic encrypted video,Video,
.m4f,Sony SNC video format,Video,
.vcd,Video CD MPEG movie,Video,application/x-cdlink
.wlmp,Microsoft Windows Live Movie Maker video project,Video,
.h260,Video recording,Video,
.vep,AVS Video Editor project,Video,
.dvt,DepoView digital video transcript,Video,
.m4s,MP4Box HTML5 MP4 video segment file,Video,
.vcr,ATI Personal Video Recorder captured video,Video,
.ezp,EDIUS project,Video,
.bik,BINK video,Video,
.dxr,Adobe Director protected movie,Video,application/x-director
.bvr,Blue Iris video,Video,
.etrg,Warez movie,Video,
.trp,MPEG-2 HD video data,Video,
.hbox,Xtralis surveillance camera recording,Video,
.usm,ScaleForm GFX video content,Video,
.dcf,DRM content format delivery data,Video,
.gifv,Graphics Interchange Format video data,Video,
.um4,Samsung Smart TV video,Video,
.265,H.265 High Efficiency Video Coding codec encoded video,Video,
.3gp,Multimedia files for wireless networks,Video,video/3gpp
.vp6,VP6 encoded video,Video,
.wmv,Windows Media Video,Video,video/x-ms-wmv
.dir,Adobe (Macromedia) Director project,Video,application/x-director
.strg,E-Viewer recorded video copy backup,Video,
.dfxp,Timed Text Markup Language distribution format exchange profile,Video,
.camrec,Camtasia Studio video recording (version 8.3 or earlier),Video,
.dtcp-ip,Microsoft Windows Movie Maker video,Video,
.sol,Adobe Flash shared object,Video,
.hevc,HEVC video data,Video,
.dat,Video CD MPEG movie MPEG1,Video,
.irf,iVIEW DVR H.264 video data,Video,
.xvid,XviD Codec,Video,
.vvf,CCTV DVR camera video format,Video,
.dxa,DXA video format,Video,
.mk3d,Matroska MKV 3D stereoscopic video,Video,
.vghd,VirtuaGirlHD model videoclip,Video,
.mpg,MPEG 1 video file format,Video,video/mpeg
.camproj,Camtasia Studio project,Video,
.mts,AVCHD MPEG-2 transport stream,Video,model/vnd.mts
.mp41,Microsoft MP41 video data,Video,
.dc8,Video data,Video,
.amc,Microsoft Windows AMC media data,Video,
.viv,VivoActive video,Video,video/vnd.vivo
.rdt,Adobe Captivate RoboDemo template,Video,
.cpk,Sega FILM/CPK file format,Video,
.vf,Vegas Movie Studio project,Video,
.vid,Generic video,Video,
.vse,Video Server E captured video,Video,
.mod,Hard disk camera movie MPEG-2 program stream,Video,
.eti,ETI (Ensemble Transport Interface) stream,Video,
.m4v,MPEG-4 video file format,Video,video/x-m4v
.asf,Advanced Systems (streaming) format,Video,video/x-ms-asf
.mxf,Material Exchange Format video,Video,application/mxf
.m2p,MPEG-2 stream file format,Video,
.nvc,Nero Video project,Video,
.vgz,VGuard proprietary H.264 CODEC video,Video,
.stu,Pinnacle Studio video project,Video,
.m2t,MPEG-2 transport stream,Video,
.cine,Vision Research Phantom Cine camera recording,Video,
.tts,MPEG-2 video,Video,
.dce,DriveCam video recording,Video,
.stx,Pinnacle Studio project,Video,
.dmx,Source Filmmaker video session,Video,
.hmt,HighMAT data,Video,
.mjpeg,Motion JPEG video,Video,
.asx,Microsoft Advanced Streaming Redirector,Video,video/x-ms-asf
.demo,VirtuaGirl HD model demo,Video,
.evo,HD DVD video,Video,
.xba,Timespace Technology video,Video,
.sdv,Pinnacle Studio DV video editing project,Video,
.ogv,Ogg Vorbis video,Video,video/ogg
.vp3,VP3 encoded video,Video,
.sdr2,H.264 MICRO DVR camera movie,Video,
.moff,Sony AVCHD index,Video,
.fcpxml,Final Cut Pro X project,Video,
.cct,Macromedia (Adobe) Director Shockwave cast data,Video,application/x-director
.avh,OXE CCTV video recording,Video,
.ravi,Optris recorded video,Video,
.vs4,AVTECH video data,Video,
.ssif,Blu-ray stereoscopic interleaved movie,Video,
.doink-gs,Green Screen project,Video,
.tsp,DISH Network DVR recorded video,Video,
.eztv,EZTV tv show video,Video,
.vfo,VOB 5 DVD video,Video,
.amv,AMV video file format,Video,
.mjp,LG MJPEG video format,Video,
.p2,Panasonic P2 video,Video,
.avf,Video information file,Video,
.mts1,MPEG-2 transport stream,Video,
.tp,MPEG-2 TV recorded video,Video,
.mpeg,MPEG movie,Video,video/mpeg
.ivf,Indeo video recording,Video,
.vro,Video recordable format,Video,
.screenrec,ScreenRec recording,Video,
.awlive,Active WebCam live capture video,Video,
.dcr,Digital Court Recorder video,Video,image/x-kodak-dcr
.ismv,Smooth Streaming MPEG-4 multimedia fragment,Video,
.flm,AutoCAD film roll data,Video,
.3gp_128x96,3GP video data,Video,
.str,SONY PlayStation movie stream file,Video,application/vnd.pg.format
