Description,Extension,Category,MIME type,,,,,
MPEG-4 video file format,.mp4,Video,video/mp4,,,,,
H.264/MPEG-4 AVC video data file,0.264,Video,video/h264,,,,,
Youtube for Android video chunk,.exo,Video,application/octet-stream,,,,,
"ShockWave Flash, Animated vector format for the Internet",.swf,Video,application/x-shockwave-flash,,,,,
AnyDesk session record,.anydesk,Video,application/octet-stream,,,,,
BB FlashBack screen recording,.fbr,Video,application/octet-stream,,,,,
DivX video,.scr,Video,application/x-msdownload,,,,,
Panasonic video format,.n3r,Video,application/octet-stream,,,,,
H.264 video,.h264,Video,application/octet-stream,,,,,
Samsung CCTV security video recording,.bu,Video,application/octet-stream,,,,,
Audio Video Interleave movie,.avi,Video,application/octet-stream,,,,,
Camtasia Studio project (version 9),.tscproj,Video,application/octet-stream,,,,,
Camtasia Studio recorded session file,.trec,Video,video/avi,,,,,
VSDC Free Video Editor project,.vproj,Video,application/octet-stream,,,,,
Recorded data,.rec,Video,application/octet-stream,,,,,
Movavi Video Editor project (version 11 to 22),.mepx,Video,application/octet-stream,,,,,
TENVIS IP Camera recorded video file,.v264,Video,application/octet-stream,,,,,
Security Center video data file,.g64x,Video,application/octet-stream,,,,,
Wondershare Video Editor project,.wve,Video,video/x-ms-wmv,,,,,
MPEG-4 AVC Advanced Video Coding movie,.avc,Video,video/avc,,,,,
MPEG-TV recorded video format,.ts,Video,video/mp2t,,,,,
VideoPad video editor project,.vpj,Video,application/octet-stream,,,,,
Adobe Premiere Pro project,.prproj,Video,application/vnd.adobe.prproject,,,,,
Cyberlink PowerDirector project,.pds,Video,video/x-pds,,,,,
Panzoid video project,.pz,Video,application/octet-stream,,,,,
Eyesight IP Camera video,.hkv,Video,application/octet-stream,,,,,
Matroska multimedia container video file,.mkv,Video,video/x-matroska,,,,,
RealFlash clip,.rf,Video,application/octet-stream,,,,,
Canon VIXIA HG21 high resolution exported movie,.es3,Video,application/vnd.eszigno3+xml,,,,,
BINK compressed video file,.bnk,Video,application/octet-stream,,,,,
GoPro low resolution video,.lrv,Video,video/mp4,,,,,
Netflix downloaded video,.nfv,Video,application/octet-stream,,,,,
Microsoft Windows XP Media Center TV recording,.dvr,Video,application/octet-stream,,,,,
Backup of DVD info,.bup,Video,application/octet-stream,,,,,
Filmora project,.wfp,Video,application/octet-stream,,,,,
Matroska subtitles stream,.mks,Video,video/x-matroska,,,,,
