Description,Extension,Category,MIME type
MPEG-4 video file format,.mp4,Video,video/mp4
H.264/MPEG-4 AVC video data file,0.264,Video,Unknown
Youtube for Android video chunk,.exo,Video,Unknown
"ShockWave Flash, Animated vector format for the Internet",.swf,Video,application/x-shockwave-flash
AnyDesk session record,.anydesk,Video,Unknown
BB FlashBack screen recording,.fbr,Video,Unknown
DivX video,.scr,Video,Unknown
Panasonic video format,.n3r,Video,Unknown
H.264 video,.h264,Video,video/h264
Samsung CCTV security video recording,.bu,Video,Unknown
Audio Video Interleave movie,.avi,Video,video/x-msvideo
Camtasia Studio project (version 9),.tscproj,Video,Unknown
Camtasia Studio recorded session file,.trec,Video,Unknown
VSDC Free Video Editor project,.vproj,Video,Unknown
Recorded data,.rec,Video,Unknown
Movavi Video Editor project (version 11 to 22),.mepx,Video,Unknown
TENVIS IP Camera recorded video file,.v264,Video,Unknown
Security Center video data file,.g64x,Video,Unknown
Wondershare Video Editor project,.wve,Video,Unknown
MPEG-4 AVC Advanced Video Coding movie,.avc,Video,Unknown
MPEG-TV recorded video format,.ts,Video,video/mp2t
VideoPad video editor project,.vpj,Video,Unknown
Adobe Premiere Pro project,.prproj,Video,Unknown
Cyberlink PowerDirector project,.pds,Video,Unknown
Panzoid video project,.pz,Video,Unknown
Eyesight IP Camera video,.hkv,Video,Unknown
Matroska multimedia container video file,.mkv,Video,video/x-matroska
RealFlash clip,.rf,Video,Unknown
Canon VIXIA HG21 high resolution exported movie,.es3,Video,application/vnd.eszigno3+xml
BINK compressed video file,.bnk,Video,Unknown
GoPro low resolution video,.lrv,Video,Unknown
Netflix downloaded video,.nfv,Video,Unknown
Microsoft Windows XP Media Center TV recording,.dvr,Video,Unknown
Backup of DVD info,.bup,Video,Unknown
Filmora project,.wfp,Video,Unknown
Matroska subtitles stream,.mks,Video,Unknown
Matroska WebM video,.webm,Video,video/webm
H.265 RAW video,.hvc1,Video,Unknown
Bosch Security Systems CCTV video,.dv4,Video,Unknown
Warez movie,.yify,Video,Unknown
H.265 High Efficiency Video,.h265,Video,Unknown
TeamViewer session data,.tvs,Video,Unknown
Apple QuickTime digital video,.mov,Video,video/quicktime
MAGIX Vegas Pro video project,.veg,Video,Unknown
Multimedia data file,.kux,Video,Unknown
DVD video object,.vob,Video,Unknown
Fuho 16CH Standalone DVR video backup,.ifv,Video,Unknown
PhotoDVD project,.vpd,Video,Unknown
DV5 DVR digital video,.dv5,Video,Unknown
Flash video,.flv,Video,video/x-flv
Dynamic Adaptive Streaming over HTTP video,.dash,Video,Unknown
Inter-Tel web conference recording,.lrec,Video,Unknown
WebEx advanced record file,.arf,Video,Unknown
Panasonic encrypted video,.encm,Video,Unknown
Sony SNC video format,.m4f,Video,Unknown
Video CD MPEG movie,.vcd,Video,application/x-cdlink
Microsoft Windows Live Movie Maker video project,.wlmp,Video,Unknown
Video recording,.h260,Video,Unknown
AVS Video Editor project,.vep,Video,Unknown
DepoView digital video transcript,.dvt,Video,Unknown
MP4Box HTML5 MP4 video segment file,.m4s,Video,Unknown
ATI Personal Video Recorder captured video,.vcr,Video,Unknown
EDIUS project,.ezp,Video,Unknown
BINK video,.bik,Video,Unknown
Adobe Director protected movie,.dxr,Video,application/x-director
Blue Iris video,.bvr,Video,Unknown
Warez movie,.etrg,Video,Unknown
MPEG-2 HD video data,.trp,Video,Unknown
Xtralis surveillance camera recording,.hbox,Video,Unknown
ScaleForm GFX video content,.usm,Video,Unknown
DRM content format delivery data,.dcf,Video,Unknown
Graphics Interchange Format video data,.gifv,Video,Unknown
Samsung Smart TV video,.um4,Video,Unknown
H.265 High Efficiency Video Coding codec encoded video,0.265,Video,Unknown
Multimedia files for wireless networks,.3gp,Video,video/3gpp
VP6 encoded video,.vp6,Video,Unknown
Windows Media Video,.wmv,Video,video/x-ms-wmv
Adobe (Macromedia) Director project,.dir,Video,application/x-director
E-Viewer recorded video copy backup,.strg,Video,Unknown
Timed Text Markup Language distribution format exchange profile,.dfxp,Video,Unknown
Camtasia Studio video recording (version 8.3 or earlier),.camrec,Video,Unknown
Microsoft Windows Movie Maker video,.dtcp-ip,Video,Unknown
Adobe Flash shared object,.sol,Video,Unknown
HEVC video data,.hevc,Video,Unknown
Video CD MPEG movie MPEG1,.dat,Video,Unknown
iVIEW DVR H.264 video data,.irf,Video,Unknown
XviD Codec,.xvid,Video,Unknown
CCTV DVR camera video format,.vvf,Video,Unknown
DXA video format,.dxa,Video,Unknown
Matroska MKV 3D stereoscopic video,.mk3d,Video,Unknown
VirtuaGirlHD model videoclip,.vghd,Video,Unknown
MPEG 1 video file format,.mpg,Video,video/mpeg
Camtasia Studio project,.camproj,Video,Unknown
AVCHD MPEG-2 transport stream,.mts,Video,model/vnd.mts
Microsoft MP41 video data,.mp41,Video,Unknown
Video data,.dc8,Video,Unknown
Microsoft Windows AMC media data,.amc,Video,Unknown
VivoActive video,.viv,Video,video/vnd.vivo
Adobe Captivate RoboDemo template,.rdt,Video,Unknown
Sega FILM/CPK file format,.cpk,Video,Unknown
Vegas Movie Studio project,.vf,Video,Unknown
Generic video,.vid,Video,Unknown
Video Server E captured video,.vse,Video,Unknown
Hard disk camera movie MPEG-2 program stream,.mod,Video,Unknown
ETI (Ensemble Transport Interface) stream,.eti,Video,Unknown
MPEG-4 video file format,.m4v,Video,video/x-m4v
Advanced Systems (streaming) format,.asf,Video,video/x-ms-asf
Material Exchange Format video,.mxf,Video,application/mxf
MPEG-2 stream file format,.m2p,Video,Unknown
Nero Video project,.nvc,Video,Unknown
VGuard proprietary H.264 CODEC video,.vgz,Video,Unknown
Pinnacle Studio video project,.stu,Video,Unknown
MPEG-2 transport stream,.m2t,Video,Unknown
Vision Research Phantom Cine camera recording,.cine,Video,Unknown
MPEG-2 video,.tts,Video,Unknown
DriveCam video recording,.dce,Video,Unknown
Pinnacle Studio project,.stx,Video,Unknown
Source Filmmaker video session,.dmx,Video,Unknown
HighMAT data,.hmt,Video,Unknown
Motion JPEG video,.mjpeg,Video,Unknown
Microsoft Advanced Streaming Redirector,.asx,Video,video/x-ms-asf
VirtuaGirl HD model demo,.demo,Video,Unknown
HD DVD video,.evo,Video,Unknown
Timespace Technology video,.xba,Video,Unknown
Pinnacle Studio DV video editing project,.sdv,Video,Unknown
Ogg Vorbis video,.ogv,Video,video/ogg
VP3 encoded video,.vp3,Video,Unknown
H.264 MICRO DVR camera movie,.sdr2,Video,Unknown
Sony AVCHD index,.moff,Video,Unknown
Final Cut Pro X project,.fcpxml,Video,Unknown
Macromedia (Adobe) Director Shockwave cast data,.cct,Video,application/x-director
OXE CCTV video recording,.avh,Video,Unknown
Optris recorded video,.ravi,Video,Unknown
AVTECH video data,.vs4,Video,Unknown
Blu-ray stereoscopic interleaved movie,.ssif,Video,Unknown
Green Screen project,.doink-gs,Video,Unknown
DISH Network DVR recorded video,.tsp,Video,Unknown
EZTV tv show video,.eztv,Video,Unknown
VOB 5 DVD video,.vfo,Video,Unknown
AMV video file format,.amv,Video,Unknown
LG MJPEG video format,.mjp,Video,Unknown
Panasonic P2 video,.p2,Video,Unknown
Video information file,.avf,Video,Unknown
MPEG-2 transport stream,.mts1,Video,Unknown
MPEG-2 TV recorded video,.tp,Video,Unknown
MPEG movie,.mpeg,Video,video/mpeg
Indeo video recording,.ivf,Video,Unknown
Video recordable format,.vro,Video,Unknown
ScreenRec recording,.screenrec,Video,Unknown
Active WebCam live capture video,.awlive,Video,Unknown
Digital Court Recorder video,.dcr,Video,image/x-kodak-dcr
Smooth Streaming MPEG-4 multimedia fragment,.ismv,Video,Unknown
AutoCAD film roll data,.flm,Video,Unknown
3GP video data,.3gp_128x96,Video,Unknown
SONY PlayStation movie stream file,.str,Video,application/vnd.pg.format
3GPP2 multimedia data,.3g2,Video,video/3gpp2
SWiSH data,.swi,Video,application/vnd.arastra.swi
RealMedia variable bitrate,.rmvb,Video,Unknown
Video Recorder video data,.hav,Video,Unknown
Hard disk camera movie MPEG-2 transport stream,.tod,Video,Unknown
Motion JPEG Video,.mjpg,Video,Unknown
Audioless H.264 video data,.h64,Video,Unknown
Microsoft 3D Movie Maker recorded video,.nmm,Video,Unknown
Multiplexed MPEG-1/2 stream,.mpeg2,Video,Unknown
X-Driven DRS-1100 recorded video file,.ub1,Video,Unknown
AVI movie,.vmlf,Video,Unknown
VP9 video,.vp9,Video,Unknown
DVM Movie File Format,.dvm,Video,Unknown
ARMovie video,.rpl,Video,Unknown
Fujifilm video,.dscf,Video,Unknown
MPEG-2 stream (Blu-Ray),.m2ts,Video,Unknown
Panasonic camera security recording,.h3r,Video,Unknown
FluxTime Studio clip,.flux,Video,Unknown
Walker File format video,.rec_part0,Video,Unknown
REDCODE multimedia data,.r3d,Video,Unknown
AMS shared project,.apz,Video,Unknown
